grant_number,hc_name,hc_type,hq_city,hq_state,hq_zip,operator_type,site_count,active_sites,county_count
H80CS28372,COMMUNITY HEALTH CENTER IN COWLEY COUNTY INC,Federally Qualified Health Center (FQHC),Winfield,KS,67156-2718,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00017,HEALTH CARE FOR HOMELESS INC,Federally Qualified Health Center (FQHC),Baltimore,MD,21202-4800,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS00170,"OAK ORCHARD COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Brockport,NY,14420-1118,"Corporate Entity, Federal Tax Exempt",14,14,5
H80CS24134,THE WELLNESS PLAN,Federally Qualified Health Center (FQHC),Detroit,MI,48202-2477,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00635,NORTH MS PRIMARY HEALTH CARE INC,Federally Qualified Health Center (FQHC),Ashland,MS,38603,"Corporate Entity, Federal Tax Exempt",19,19,8
H80CS24153,ASIAN AMERICAN HEALTH COALITION OF THE GREATER HOUSTON AREA,Federally Qualified Health Center (FQHC),Houston,TX,77083-1719,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00257,COMMUNITY HEALTH CONNECTIONS INC,Federally Qualified Health Center (FQHC),Fitchburg,MA,01420-1914,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS01808,SPECTRA HEALTH,Federally Qualified Health Center (FQHC),Grand Forks,ND,58201-4781,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00008,MUNICIPIO DE SAN JUAN,Federally Qualified Health Center (FQHC),San Juan,PR,00918-1712,U.S. Government Entity,5,5,1
H80CS00808,LIFELONG MEDICAL CARE,Federally Qualified Health Center (FQHC),Berkeley,CA,94710-2412,"Corporate Entity, Federal Tax Exempt",42,42,2
H80CS28348,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Asheville,NC,28801-4136,"Corporate Entity, Not Federal Tax Exempt",12,12,4
H80CS29004,HOWARD BROWN HEALTH CENTER,Federally Qualified Health Center (FQHC),Chicago,IL,60613-2010,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS06716,"JEFFERSON COMMUNITY HEALTH CARE CENTERS, INC",Federally Qualified Health Center (FQHC),Westwego,LA,70094-2622,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00119,LAKE COUNTY HEALTH DEPARTMENT & COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Waukegan,IL,60085-2399,U.S. Government Entity,9,9,1
H80CS26628,ST. JUDE NEIGHBORHOOD HEALTH CENTERS,Federally Qualified Health Center (FQHC),Fullerton,CA,92832-2753,"Corporate Entity, Federal Tax Exempt",17,17,2
LALCS52965,MAZZONI CENTER,Federally Qualified Health Center (FQHC) Look-Alike,PHILADELPHIA,PA,19147,NA,2,2,1
H80CS24164,"L'REFUAH MEDICAL & REHABILITATION CENTER, INC",Federally Qualified Health Center (FQHC),Brooklyn,NY,11218-3612,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS29003,NORTH CUSTER HOSPITAL DISTRICT,Federally Qualified Health Center (FQHC),Challis,ID,83226-4824,U.S. Government Entity,3,3,1
H80CS31240,FIRST PERSON CARE CLINIC,Federally Qualified Health Center (FQHC),Las Vegas,NV,89104-1046,"Corporate Entity, Federal Tax Exempt",7,7,3
H80CS00454,THUNDERMIST HEALTH CENTER,Federally Qualified Health Center (FQHC),Woonsocket,RI,02895-3244,"Corporate Entity, Federal Tax Exempt",12,12,3
H80CS26640,MID-STATE HEALTH CENTER,Federally Qualified Health Center (FQHC),Plymouth,NH,03264-3170,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00529,FAMILY FIRST HEALTH CORPORATION,Federally Qualified Health Center (FQHC),York,PA,17401-1474,"Corporate Entity, Federal Tax Exempt",10,10,4
H80CS29000,"UNITED COMMUNITY AND FAMILY SERVICES, INC.",Federally Qualified Health Center (FQHC),Norwich,CT,06360-2317,"Corporate Entity, Federal Tax Exempt",18,18,2
H80CS00495,UNION COMMUNITY CARE,Federally Qualified Health Center (FQHC),New Holland,PA,17557-9564,"Corporate Entity, Federal Tax Exempt",23,23,3
H80CS00499,North End Community Health Committee Inc,Federally Qualified Health Center (FQHC),Boston,MA,02113-1901,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS26582,MQVN COMMUNITY DEVELOPMENT CORPORATION,Federally Qualified Health Center (FQHC),New Orleans,LA,70129-9998,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00058,NEIGHBORHEALTH CORPORATION,Federally Qualified Health Center (FQHC),East Boston,MA,02128-1931,"Corporate Entity, Federal Tax Exempt",18,18,2
H80CS00673,OZARK TRI-COUNTY HEALTH CARE CONSORTIUM,Federally Qualified Health Center (FQHC),Neosho,MO,64850-8825,"Corporate Entity, Federal Tax Exempt",35,35,7
H80CS00096,Mantachie Rural Health Care Inc.,Federally Qualified Health Center (FQHC),Mantachie,MS,38855-7632,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS28982,AAA COMPREHENSIVE HEALTHCARE INC.,Federally Qualified Health Center (FQHC),North Hollywood,CA,91606,"Corporate Entity, Federal Tax Exempt",3,3,2
H80CS00731,"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",Federally Qualified Health Center (FQHC),Kirksville,MO,63501,"Corporate Entity, Federal Tax Exempt",15,15,6
LALCS00012,"CASTLE FAMILY HEALTH CENTERS, INC.",Federally Qualified Health Center (FQHC) Look-Alike,ATWATER,CA,95301,NA,4,4,1
H80CS00514,CHICAGO FAMILY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Chicago,IL,60617-4225,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00152,MASSACHUSETTS LEAGUE OF COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center (FQHC),Boston,MA,02108-2212,"Corporate Entity, Federal Tax Exempt",6,6,5
H80CS04201,"COMMUNITY COUNCIL OF IDAHO, INC",Federally Qualified Health Center (FQHC),Caldwell,ID,83607-1529,"Corporate Entity, Federal Tax Exempt",4,4,3
H80CS00340,"OPEN DOOR HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Muncie,IN,47305-2465,"Corporate Entity, Federal Tax Exempt",8,8,2
H80CS24115,"LOS ANGELES FREE CLINIC., THE",Federally Qualified Health Center (FQHC),Los Angeles,CA,90048,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS28984,CENTER FOR FAMILY HEALTH & EDUCATION INC.,Federally Qualified Health Center (FQHC),Panorama City,CA,91402-2483,"Corporate Entity, Federal Tax Exempt",16,16,3
H80CS26626,FOUNDCARE,Federally Qualified Health Center (FQHC),West Palm Beach,FL,33406-7608,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS28993,SAN DIEGO AMERICAN INDIAN HEALTH CENTER,Federally Qualified Health Center (FQHC),San Diego,CA,92103-6599,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00868,TANDEM HEALTH SC,Federally Qualified Health Center (FQHC),Sumter,SC,29150-2616,"Corporate Entity, Federal Tax Exempt",12,12,1
H80CS00007,CARE FOR THE HOMELESS,Federally Qualified Health Center (FQHC),New York,NY,10016-5337,"Corporate Entity, Federal Tax Exempt",18,18,5
LALCS00181,"TRI-COUNTY FAMILY MEDICINE PROGRAM, INC.",Federally Qualified Health Center (FQHC) Look-Alike,DANSVILLE,NY,14437,NA,7,7,3
LALCS40180,COMMUNITY HEALTH CENTERS OF AMERICA,Federally Qualified Health Center (FQHC) Look-Alike,MARIPOSA,CA,95338,NA,14,14,7
H80CS00377,"OPTIMUS HEALTH CARE, INC.",Federally Qualified Health Center (FQHC),Stratford,CT,06614-5256,"Corporate Entity, Federal Tax Exempt",26,26,3
H80CS00746,COMMUNITY HEALTH CENTER OF SNOHOMISH COUNTY,Federally Qualified Health Center (FQHC),Everett,WA,98208-2619,"Corporate Entity, Federal Tax Exempt",14,14,1
H80CS55479,PARTNERSHIP HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Missoula,MT,59802-4123,"Corporate Entity, Federal Tax Exempt",16,16,1
LALCS45370,ALLIANCE HEALTH CENTERS INC,Federally Qualified Health Center (FQHC) Look-Alike,FORT WAYNE,IN,46806,NA,9,9,3
H80CS00478,"Compassion Health Care, Inc.",Federally Qualified Health Center (FQHC),Yanceyville,NC,27379-8304,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00589,Brownsville Community Development Corporation,Federally Qualified Health Center (FQHC),Brooklyn,NY,11212-5539,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00817,VIRGINIA GARCIA MEMORIAL HEALTH CENTER,Federally Qualified Health Center (FQHC),Hillsboro,OR,97124-7143,"Corporate Entity, Federal Tax Exempt",23,23,2
H80CS10611,LAMOILLE HEALTH PARTNERS INC,Federally Qualified Health Center (FQHC),Morrisville,VT,05661-8652,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00143,CAMARENA HEALTH,Federally Qualified Health Center (FQHC),Madera,CA,93637-3077,"Corporate Entity, Federal Tax Exempt",28,28,4
H80CS26637,"WILLIAMSON HEALTH & WELLNESS CENTER, INC",Federally Qualified Health Center (FQHC),Williamson,WV,25661-3602,"Corporate Entity, Federal Tax Exempt",15,15,1
H80CS04204,ROGUE COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Medford,OR,97504-7667,"Corporate Entity, Federal Tax Exempt",18,18,1
LALCS40296,"Bowen Health, INC.",Federally Qualified Health Center (FQHC) Look-Alike,Warsaw,IN,46580,NA,16,16,12
H80CS00341,PRIMECARE COMMUNITY HEALTH INC,Federally Qualified Health Center (FQHC),Chicago,IL,60614-9278,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00745,INTERIOR COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Fairbanks,AK,99701,"Corporate Entity, Federal Tax Exempt",2,2,1
LALCS32583,SHAWNEE MENTAL HEALTH CENTER INC,Federally Qualified Health Center (FQHC) Look-Alike,PORTSMOUTH,OH,45662,NA,3,3,3
H80CS26630,JERICHO ROAD MINISTRIES INC,Federally Qualified Health Center (FQHC),Buffalo,NY,14213-1573,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS45850,University of Kentucky,Federally Qualified Health Center (FQHC),Lexington,KY,40506,Other,5,5,3
H80CS02331,DIRNE COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Coeur D Alene,ID,83814-2785,"Corporate Entity, Federal Tax Exempt",45,45,3
H80CS00618,BORINQUEN HEALTH CARE CENTER INC,Federally Qualified Health Center (FQHC),Miami,FL,33137-3795,"Corporate Entity, Federal Tax Exempt",11,11,1
H80CS00582,JEFFERSON COMPREHENSIVE HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Fayette,MS,39069-5576,"Corporate Entity, Federal Tax Exempt",11,11,2
H80CS26615,"THE ASIAN AMERICANS FOR COMMUNITY INVOLVEMENT OF SANTA CLARA COUNTY, INC.",Federally Qualified Health Center (FQHC),San Jose,CA,95128-2680,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00350,"STAYWELL HEALTH CARE, INC.",Federally Qualified Health Center (FQHC),Waterbury,CT,06702-1418,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00331,"BLAND COUNTY MEDICAL CLINIC, INC.",Federally Qualified Health Center (FQHC),Bastian,VA,24314-4547,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00334,CORPORACION DE SERVICIOS MEDICOS Y PREVENCION,Federally Qualified Health Center (FQHC),Hatillo,PR,00659-1847,"Corporate Entity, Federal Tax Exempt",11,11,4
H80CS00467,"MOUNTAIN PEOPLES' HEALTH COUNCILS, INC.",Federally Qualified Health Center (FQHC),Oneida,TN,37841-6294,"Corporate Entity, Federal Tax Exempt",12,12,1
H80CS24131,PILLARS COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Countryside,IL,60525-3133,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS08234,"WESTERN SIERRA MEDICAL CLINIC, INC.",Federally Qualified Health Center (FQHC),Grass Valley,CA,95945-8524,"Corporate Entity, Federal Tax Exempt",14,14,4
LALCS33880,"PINNACLE FAMILY HEALTH, INC.",Federally Qualified Health Center (FQHC) Look-Alike,WEST MONROE,LA,71291,NA,1,1,1
H80CS33884,PUREVIEW HEALTH CENTER,Federally Qualified Health Center (FQHC),Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",11,11,1
H80CS00173,SOUTHERN DOMINION HEALTH,Federally Qualified Health Center (FQHC),Victoria,VA,23974-2624,"Corporate Entity, Federal Tax Exempt",10,10,5
H80CS12863,"ST. THOMAS COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),New Orleans,LA,70130-5022,"Corporate Entity, Federal Tax Exempt",12,12,2
H80CS24167,HOSPITAL SERVICE DISTRICT 1 A,Federally Qualified Health Center (FQHC),Delhi,LA,71232-3007,U.S. Government Entity,9,9,1
H80CS24163,EAST HILL FAMILY MEDICAL INC.,Federally Qualified Health Center (FQHC),Auburn,NY,13021-3509,"Corporate Entity, Federal Tax Exempt",15,15,1
H80CS00814,KALIHI PALAMA HEALTH CENTER,Federally Qualified Health Center (FQHC),Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00294,"CABIN CREEK HEALTH SYSTEMS, INC.",Federally Qualified Health Center (FQHC),Charleston,WV,25304-2952,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS03983,"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION",Federally Qualified Health Center (FQHC),Aurora,IL,60506-5834,"Corporate Entity, Federal Tax Exempt",18,18,4
H80CS00713,"LA CLINICA DE LOS CAMPESINOS, INC.",Federally Qualified Health Center (FQHC),Wautoma,WI,54982-6922,"Corporate Entity, Federal Tax Exempt",11,11,5
H80CS28962,"HIV/AIDS ALLIANCE FOR REGION TWO (HAART), INC.",Federally Qualified Health Center (FQHC),Baton Rouge,LA,70806-3827,"Corporate Entity, Federal Tax Exempt",18,18,3
H80CS26605,"NORTHERN NEVADA HIV OUTPATIENT PROGRAM, EDUCATION AND SERVICES",Federally Qualified Health Center (FQHC),Reno,NV,89503-4407,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00603,"BEN ARCHER HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Hatch,NM,87937-7001,"Corporate Entity, Federal Tax Exempt",12,12,4
H80CS08753,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,Federally Qualified Health Center (FQHC),Hamilton,OH,45011-6078,"Corporate Entity, Federal Tax Exempt",19,19,2
H80CS00082,CURTIS V COOPER PRIMARY HEALTH CARE INC,Federally Qualified Health Center (FQHC),Savannah,GA,31408-3524,"Corporate Entity, Federal Tax Exempt",19,19,2
H80CS00037,NEW ORLEANS CITY HUMAN SVC,Federally Qualified Health Center (FQHC),New Orleans,LA,70112-2125,U.S. Government Entity,7,7,1
H80CS28344,BANYAN COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Doral,FL,33172-2431,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS00322,DEPARTMENT OF COMMUNITY HEALTH GEORGIA,Federally Qualified Health Center (FQHC),Cordele,GA,31015-1443,U.S. Government Entity,15,15,10
H80CS28972,AFFINITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Rock Hill,SC,29730-4205,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS02325,INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,Federally Qualified Health Center (FQHC),San Jose,CA,95125-5212,"Corporate Entity, Federal Tax Exempt",13,13,1
LALCS55417,FAIR HILL COMMUNITY PHYSI,Federally Qualified Health Center (FQHC) Look-Alike,PHILADELPHIA,PA,19125,NA,4,4,1
H80CS00815,"PEOPLES COMMUNITY HEALTH CLINIC, INC.",Federally Qualified Health Center (FQHC),Waterloo,IA,50703-4407,"Corporate Entity, Federal Tax Exempt",3,3,2
H80CS00484,"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Canton,MS,39046-5332,"Corporate Entity, Federal Tax Exempt",17,17,5
H80CS00222,"COMMUNITY HEALTH SYSTEMS, INC.",Federally Qualified Health Center (FQHC),Riverside,CA,92508-6000,"Corporate Entity, Federal Tax Exempt",13,13,3
H80CS00485,"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE",Federally Qualified Health Center (FQHC),Atlanta,GA,30310-2791,"Corporate Entity, Federal Tax Exempt",14,14,5
H80CS08749,MARTINSVILLE HENRY COUNTY COALITION FOR HEALTH AND WELLNESS,Federally Qualified Health Center (FQHC),Martinsville,VA,24112-2716,"Corporate Entity, Federal Tax Exempt",6,6,3
H80CS00560,"BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Brockton,MA,02301-4042,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00451,"HAMAKUA HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS28999,FAMILY CENTERS INC,Federally Qualified Health Center (FQHC),Greenwich,CT,06830-6525,"Corporate Entity, Federal Tax Exempt",12,12,1
H80CS26565,HAMDARD HEALTH ALLIANCE,Federally Qualified Health Center (FQHC),Addison,IL,60101-2889,"Corporate Entity, Federal Tax Exempt",3,3,2
H80CS08235,PREVENTATIVE CARE HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Alpine,TX,79830-2150,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS00036,ALBUQUERQUE HEALTH CARE FOR HOMELESS,Federally Qualified Health Center (FQHC),Albuquerque,NM,87102-1529,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00105,CENTRAL NORTH ALABAMA HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Huntsville,AL,35801-4739,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS00384,MONROE COUNTY HEALTH DEPARTMENT,Federally Qualified Health Center (FQHC),Union,WV,24983-8442,U.S. Government Entity,11,11,4
H80CS00286,"EAST VALLEY COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),West Covina,CA,91790-3001,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS28965,"FORDLAND CLINIC, INC.",Federally Qualified Health Center (FQHC),Fordland,MO,65652-7350,"Corporate Entity, Federal Tax Exempt",6,6,3
H80CS00465,"EDWARD M KENNEDY COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Worcester,MA,01606-1224,"Corporate Entity, Federal Tax Exempt",11,11,2
H80CS00727,JEFFERSON COMPREHENSIVE CARE SYSTEM INC,Federally Qualified Health Center (FQHC),Pine Bluff,AR,71601-5801,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS12862,LOUDOUN COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Leesburg,VA,20176-4420,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS00671,NORTHWEST HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Saint Joseph,MO,64506-4954,"Corporate Entity, Federal Tax Exempt",20,20,9
H80CS12871,"Greater Prince William Area Community Health Center, Inc.",Federally Qualified Health Center (FQHC),Woodbridge,VA,22192-1784,"Corporate Entity, Federal Tax Exempt",4,4,2
H80CS00538,FAMILY HEALTH CENTER,Federally Qualified Health Center (FQHC),Laurel,MS,39440-4312,"Corporate Entity, Federal Tax Exempt",7,7,3
H80CS09469,COAL COUNTRY COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Beulah,ND,58523,"Corporate Entity, Federal Tax Exempt",12,12,3
H80CS00369,"SISKIYOU COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Grants Pass,OR,97526-1051,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00504,CAPITOL CITY FAMILY HEALTH CENTER INCORPORATED,Federally Qualified Health Center (FQHC),Baton Rouge,LA,70806-3757,"Corporate Entity, Federal Tax Exempt",23,23,4
H80CS02451,"Lone Star Community Health Center, Inc.",Federally Qualified Health Center (FQHC),Conroe,TX,77304-4722,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS33794,HEALTH ACCESS FOR ALL INC.,Federally Qualified Health Center (FQHC),Los Angeles,CA,90057-4103,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS33652,"TURNER HOUSE CLINIC, INC",Federally Qualified Health Center (FQHC),Kansas City,KS,66102-5100,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS00088,"GREENE COUNTY HEALTH CARE, INCORPORATED",Federally Qualified Health Center (FQHC),Snow Hill,NC,28580-1332,"Corporate Entity, Federal Tax Exempt",13,13,3
H80CS25436,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,Federally Qualified Health Center (FQHC),Indianapolis,IN,46205-2930,U.S. Government Entity,12,12,1
H80CS00330,"THE BROAD TOP AREA MEDICAL CENTER, INC.",Federally Qualified Health Center (FQHC),Broad Top,PA,16621-9001,"Corporate Entity, Federal Tax Exempt",12,12,2
H80CS10610,NORTHWEST COLORADO VISITING NURSE ASSOCIATION,Federally Qualified Health Center (FQHC),Steamboat Springs,CO,80487-8816,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS02327,ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,Federally Qualified Health Center (FQHC),Chicago,IL,60659-4108,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00315,NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,Federally Qualified Health Center (FQHC),Raleigh,NC,27607,U.S. Government Entity,14,14,11
H80CS06663,WESTERN WAYNE FAMILY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Inkster,MI,48141-2206,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS12879,TRI-COUNTY COMMUNITY ACTION AGENCY,Federally Qualified Health Center (FQHC),Johnston,RI,02919-7130,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00337,"PENDLETON COMMUNITY CARE, INC",Federally Qualified Health Center (FQHC),Franklin,WV,26807-6630,"Corporate Entity, Federal Tax Exempt",8,8,2
LALCS40211,SUNRISE CLINICS,Federally Qualified Health Center (FQHC) Look-Alike,SANTA ROSA,NM,88435,NA,10,10,4
H80CS00532,HYNDMAN AREA HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Hyndman,PA,15545-7379,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS08767,"UNIVERSITY COMMUNITY HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Nashville,TN,37204-2303,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00092,"LOW COUNTRY HEALTH CARE SYSTEM, INC.",Federally Qualified Health Center (FQHC),Fairfax,SC,29827-7109,"Corporate Entity, Federal Tax Exempt",13,13,4
H80CS00832,SHASTA COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Redding,CA,96001-1170,"Corporate Entity, Federal Tax Exempt",14,14,1
H80CS24150,PEOPLES COMMUNITY CLINIC,Federally Qualified Health Center (FQHC),Austin,TX,78722-2304,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS12874,ELLIS COUNTY COALITION FOR HEALTH OPTIONS,Federally Qualified Health Center (FQHC),Waxahachie,TX,75165-2837,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00374,ARROYO VISTA FAMILY HEALTH FOUNDATION,Federally Qualified Health Center (FQHC),Los Angeles,CA,90042-4232,"Corporate Entity, Federal Tax Exempt",5,5,1
LALCS33899,"CHATTANOOGA C. A. R. E. S., INC.",Federally Qualified Health Center (FQHC) Look-Alike,CHATTANOOGA,TN,37403,NA,6,6,1
H80CS00102,"FAMILY HEALTH CENTERS, INC.",Federally Qualified Health Center (FQHC),Louisville,KY,40212-1094,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS00312,Cornell Scott Hill Health Corporation,Federally Qualified Health Center (FQHC),New Haven,CT,06519-1222,"Corporate Entity, Federal Tax Exempt",45,45,2
H80CS28960,"ATCHISON COMMUNITY HEALTH CLINIC, INC.",Federally Qualified Health Center (FQHC),Atchison,KS,66002-2599,"Corporate Entity, Federal Tax Exempt",13,13,4
H80CS08771,"WATERFALL CLINIC, INCORPORATED",Federally Qualified Health Center (FQHC),North Bend,OR,97459-1229,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00628,MENDOCINO COMMUNITY HEALTH CLINIC INC,Federally Qualified Health Center (FQHC),Ukiah,CA,95482-6540,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS08755,"ESCAMBIA COMMUNITY CLINICS, INC",Federally Qualified Health Center (FQHC),Pensacola,FL,32505-7552,"Corporate Entity, Federal Tax Exempt",17,17,2
H80CS28963,PRIORITY HEALTH CARE,Federally Qualified Health Center (FQHC),Marrero,LA,70072-3054,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00477,LINCOLN COMMUNITY HEALTH CENTER INCORPORATED,Federally Qualified Health Center (FQHC),Durham,NC,27707-2398,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS00734,CHASE BREXTON HEALTH SERVICES INC.,Federally Qualified Health Center (FQHC),Baltimore,MD,21201-5505,"Corporate Entity, Federal Tax Exempt",7,7,5
H80CS28995,"UNICARE COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Ontario,CA,91762-3456,"Corporate Entity, Federal Tax Exempt",23,23,3
H80CS24103,ESPERANZA HEALTH CENTERS,Federally Qualified Health Center (FQHC),Chicago,IL,60608-2503,"Corporate Entity, Federal Tax Exempt",14,14,1
H80CS00526,ST CROIX REGIONAL HEALTH CTR,Federally Qualified Health Center (FQHC),Princeton,ME,04668-3344,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00383,"MONONGAHELA VALLEY ASSOCIATION OF HEALTH CENTERS, INC",Federally Qualified Health Center (FQHC),Fairmont,WV,26554-1436,Other,6,6,2
H80CS04213,"THE BREVARD HEALTH ALLIANCE, INC.",Federally Qualified Health Center (FQHC),West Melbourne,FL,32904-2097,"Corporate Entity, Federal Tax Exempt",17,17,1
H80CS24129,ATHENS MODEL NEIGHBORHOOD HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Athens,GA,30601-2635,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS26511,UPPER GREAT LAKES FAMILY HEALTH CENTER,Federally Qualified Health Center (FQHC),Gwinn,MI,49841-9160,"Corporate Entity, Federal Tax Exempt",13,13,5
H80CS00767,TECHE ACTION BOARD,Federally Qualified Health Center (FQHC),Franklin,LA,70538-4124,"Corporate Entity, Federal Tax Exempt",13,13,6
H80CS00553,NORTH CENTRAL TEXAS COMMUNITY HEALTH CAR,Federally Qualified Health Center (FQHC),Wichita Falls,TX,76301-1152,"Corporate Entity, Federal Tax Exempt",16,16,3
H80CS00876,MENDOCINO COAST CLINICS INC,Federally Qualified Health Center (FQHC),Fort Bragg,CA,95437-5540,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00150,REGIONAL MEDICAL CENTER AT LUBEC INC,Federally Qualified Health Center (FQHC),Lubec,ME,04652-3620,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00109,"TCA HEALTH, INC. NFP",Federally Qualified Health Center (FQHC),Chicago,IL,60628-6908,"Corporate Entity, Federal Tax Exempt",8,8,2
H80CS33639,PLAQUEMINES PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE,Federally Qualified Health Center (FQHC),Port Sulphur,LA,70083-2602,U.S. Government Entity,3,3,1
